#,Player,gp - gs,g,A,pts,sh,sh%,sog,sog%,gwg,FPG,FPS,GB,to,ct,dc,fouls,RC-YC-GC,Year
51.0,"Hawryschuk, Emily",8-8,39,7,46,66,0.591,55,0.833,3,9,17,12,20,7,17,12,0-1-0,2020
22.0,"Carney, Megan",8-8,21,11,32,45,0.467,31,0.689,2,1,9,5,8,4,0,10,0-3-0,2020
18.0,"Tyrrell, Meaghan",8-8,19,9,28,33,0.576,27,0.818,0,3,5,10,7,2,1,7,0-1-1,2020
3.0,"Swart, Sam",8-8,12,10,22,30,0.4,23,0.767,0,2,5,5,5,3,1,5,0-0-0,2020
43.0,"Cockerille, Sierra",8-0,12,5,17,25,0.48,20,0.8,1,0,0,0,2,0,0,3,0-1-0,2020
44.0,"Rahal, Mary",8-8,6,3,9,11,0.545,9,0.818,0,1,1,6,6,3,1,11,0-1-0,2020
11.0,"Costantino, Vanessa",8-0,4,4,8,13,0.308,8,0.615,0,1,5,6,3,3,1,12,0-0-0,2020
45.0,"Chevarie, Bianca",8-4,4,4,8,16,0.25,9,0.563,1,0,4,4,5,3,4,10,0-0-0,2020
1.0,"Alexander, Morgan",4-3,4,3,7,9,0.444,7,0.778,0,0,2,0,8,0,0,5,0-0-0,2020
4.0,"Quimby, Cara",8-0,5,1,6,9,0.556,6,0.667,0,3,4,5,1,2,0,4,0-0-0,2020
17.0,"Carter, Molly",4-0,1,4,5,1,1.0,1,1.0,0,0,0,0,2,0,0,0,0-0-0,2020
24.0,"Tyrrell, Emma",8-0,3,2,5,5,0.6,4,0.8,0,0,0,4,1,1,0,0,0-0-0,2020
30.0,"Harris, Kenzie",4-0,2,2,4,5,0.4,3,0.6,0,1,2,1,2,0,0,1,0-0-0,2020
32.0,"Simkins, Ella",8-8,1,1,2,1,1.0,1,1.0,0,0,0,15,2,8,12,18,0-0-0,2020
20.0,"Recchion, Bella",4-0,2,0,2,5,0.4,5,1.0,0,0,0,0,1,0,0,0,0-0-0,2020
6.0,"Kempney, Braelie",6-0,0,1,1,0,0.0,0,0.0,0,0,0,0,1,0,9,0,0-0-0,2020
10.0,"Marino, Danielle",4-0,1,0,1,1,1.0,1,1.0,0,0,0,0,1,0,1,0,0-0-0,2020
14.0,"Fusco, Rilea",4-0,1,0,1,5,0.2,3,0.6,0,0,1,2,4,0,0,1,0-0-0,2020
2.0,"Widner, Morgan",8-1,0,0,0,0,0.0,0,0.0,0,0,0,0,1,1,24,3,0-0-0,2020
7.0,"Defliese, Kerry",8-8,0,0,0,0,0.0,0,0.0,0,0,0,15,3,8,4,11,0-0-0,2020
8.0,"Mashewske, Kate",5-0,0,0,0,0,0.0,0,0.0,0,0,0,1,1,1,11,2,0-0-0,2020
13.0,"Nazarian, Lila",8-0,0,0,0,0,0.0,0,0.0,0,0,0,8,1,3,0,9,0-0-0,2020
16.0,"Fahey, Grace",8-8,0,0,0,0,0.0,0,0.0,0,0,0,5,0,4,21,22,0-3-0,2020
19.0,"Trice, Allyson",8-8,0,0,0,0,0.0,0,0.0,0,0,0,4,0,4,0,7,0-1-0,2020
21.0,"Goldstock, Asa",8-8,0,0,0,0,0.0,0,0.0,0,0,0,24,3,5,1,0,0-0-0,2020
26.0,"Cooper, Sarah",8-8,0,0,0,0,0.0,0,0.0,0,0,0,10,1,12,5,7,0-0-0,2020
27.0,"Avery, Lauren",2-0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0-0-0,2020
28.0,"Carollo, Courtney",4-0,0,0,0,0,0.0,0,0.0,0,0,0,1,0,0,0,1,0-0-0,2020
31.0,"Simkins, Hallie",4-0,0,0,0,0,0.0,0,0.0,0,0,0,2,2,2,3,2,0-0-0,2020
33.0,"Gray, Lauren",3-0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,1,0-0-0,2020
34.0,"Gray, Kara",4-0,0,0,0,0,0.0,0,0.0,0,0,0,2,1,1,0,3,0-0-0,2020
42.0,"Van Middelem, Hannah",6-0,0,0,0,0,0.0,0,0.0,0,0,0,1,0,0,0,0,0-0-0,2020
,Total,8,137,67,204,280,0.489,213,0.761,7,21,55,148,97,77,121,199,0-11-10,2020
,Opponents,8,56,26,82,137,0.409,101,0.737,1,15,35,110,141,43,84,171,1-9-11,2020
18.0,"Tyrrell, Meaghan",21-21,68,44,112,122,0.557,97,0.795,5,11,18,8,31,3,0,31,0-1-0,2021
44.0,"Ward, Emma",21-12,43,30,73,89,0.483,66,0.742,3,8,11,13,34,3,1,23,0-1-0,2021
22.0,"Carney, Megan",13-13,49,20,69,94,0.521,76,0.809,1,6,8,8,22,3,1,33,0-3-1,2021
24.0,"Tyrrell, Emma",21-8,42,16,58,73,0.575,56,0.767,1,7,11,12,23,4,43,31,0-3-1,2021
43.0,"Cockerille, Sierra",21-21,22,28,50,70,0.314,47,0.671,0,4,9,18,20,9,15,64,0-7-1,2021
3.0,"Swart, Sam",21-21,41,7,48,84,0.488,67,0.798,4,2,14,18,19,5,0,35,0-4-1,2021
35.0,"Ehle, Emily",21-9,10,21,31,25,0.4,18,0.72,1,0,1,8,12,3,0,12,0-1-0,2021
55.0,"Markey, Jenny",20-0,9,6,15,15,0.6,12,0.8,0,0,1,5,8,2,2,9,0-3-0,2021
49.0,"Baxter, Maddy",20-0,11,3,14,19,0.579,17,0.895,0,3,4,3,10,0,2,3,0-0-1,2021
4.0,"Quimby, Cara",19-0,6,2,8,14,0.429,9,0.643,1,2,3,8,9,1,0,10,0-0-0,2021
45.0,"Chevarie, Bianca",21-0,6,1,7,18,0.333,10,0.556,1,1,6,8,14,4,5,27,0-2-0,2021
51.0,"Hawryschuk, Emily",1-1,4,1,5,6,0.667,5,0.833,0,0,0,0,2,0,6,1,0-1-0,2021
1.0,"Alexander, Morgan",13-0,5,0,5,14,0.357,13,0.929,0,0,2,3,10,2,0,7,0-1-0,2021
32.0,"Simkins, Ella",21-21,0,4,4,0,0.0,0,0.0,0,0,0,43,11,35,88,87,0-3-1,2021
26.0,"Cooper, Sarah",21-21,0,1,1,0,0.0,0,0.0,0,0,0,48,5,33,1,47,0-3-1,2021
16.0,"Fahey, Grace",21-21,1,0,1,1,1.0,1,1.0,0,1,1,14,3,12,16,59,0-4-0,2021
29.0,"Jimerson, Jalyn",6-0,1,0,1,3,0.333,1,0.333,0,0,1,1,3,0,1,1,0-0-0,2021
2.0,"Widner, Morgan",17-3,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,14,7,0-0-0,2021
5.0,"Baker, Mackenzie",8-0,0,0,0,1,0.0,1,1.0,0,0,0,3,2,1,0,0,0-0-0,2021
6.0,"Kempney, Braelie",11-0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,9,5,0-1-0,2021
7.0,"Defliese, Kerry",21-21,0,0,0,0,0.0,0,0.0,0,0,0,47,7,28,1,52,0-3-0,2021
8.0,"Mashewske, Kate",20-17,0,0,0,0,0.0,0,0.0,0,0,0,1,8,1,84,20,0-1-0,2021
10.0,"Marino, Danielle",2-0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,1,0-0-0,2021
12.0,"Goodale, Katie",12-0,0,0,0,0,0.0,0,0.0,0,0,0,3,1,2,0,0,0-0-0,2021
13.0,"Nazarian, Lila",21-0,0,0,0,0,0.0,0,0.0,0,0,0,18,4,10,0,29,0-2-0,2021
14.0,"Fusco, Rilea",5-0,0,0,0,1,0.0,0,0.0,0,0,1,0,0,0,0,0,0-0-0,2021
15.0,"Smith, Natalie",6-0,0,0,0,1,0.0,0,0.0,0,0,0,0,3,0,0,0,0-1-0,2021
19.0,"Trice, Allyson",21-21,0,0,0,0,0.0,0,0.0,0,0,0,25,4,10,0,37,0-0-0,2021
20.0,"Recchion, Bella",4-0,0,0,0,1,0.0,0,0.0,0,0,0,0,1,0,0,0,0-0-0,2021
21.0,"Goldstock, Asa",21-21,0,0,0,0,0.0,0,0.0,0,0,0,41,10,4,0,1,0-0-0,2021
23.0,"Marino, Alex",2-0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,1,0,0,0-0-0,2021
25.0,"Burns, Ava",1-0,0,0,0,0,0.0,0,0.0,0,0,0,1,0,0,0,0,0-0-0,2021
28.0,"Carollo, Courtney",3-0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0-0-0,2021
30.0,"Harris, Kenzie",9-0,0,0,0,0,0.0,0,0.0,0,0,0,1,2,1,4,2,0-0-0,2021
31.0,"Simkins, Hallie",8-0,0,0,0,0,0.0,0,0.0,0,0,0,1,0,0,1,4,0-0-0,2021
33.0,"Gray, Lauren",6-0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,2,0,2,0-0-0,2021
34.0,"Gray, Kara",5-0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,1,0,1,0-0-0,2021
42.0,"Van Middelem, Hannah",6-0,0,0,0,0,0.0,0,0.0,0,0,0,2,0,0,0,0,0-0-0,2021
77.0,"Call, Lauren",1-0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0-0-0,2021
,Total,21,318,184,502,651,0.488,496,0.762,17,45,91,361,284,180,299,654,0-45-80,2021
,Opponents,21,209,104,313,498,0.42,368,0.739,4,57,131,296,339,154,258,546,0-46-40,2021
18.0,"Tyrrell, Meaghan",21-21,78,33,111,131,0.595,109,0.832,7,5,12,17,24,6,0,25,0-3-0,2022
51.0,"Hawryschuk, Emily",21-21,63,24,87,140,0.45,102,0.729,2,16,34,15,40,3,5,26,0-3-0,2022
24.0,"Tyrrell, Emma",12-12,30,20,50,56,0.536,43,0.768,1,10,12,12,22,7,64,19,0-1-0,2022
22.0,"Carney, Megan",16-7,31,17,48,61,0.508,45,0.738,1,2,2,10,28,1,1,18,0-2-0,2022
1.0,"Adamson, Olivia",21-0,31,9,40,58,0.534,43,0.741,3,6,11,4,15,0,0,13,0-1-0,2022
3.0,"Swart, Sam",21-21,26,13,39,69,0.377,51,0.739,1,3,13,19,24,6,3,27,0-4-1,2022
15.0,"Smith, Natalie",21-4,13,11,24,37,0.351,23,0.622,0,3,8,13,11,7,12,34,0-4-1,2022
55.0,"Markey, Jenny",20-16,15,6,21,31,0.484,21,0.677,0,3,7,12,18,6,15,36,0-5-2,2022
35.0,"Sweitzer, Savannah",21-4,12,2,14,31,0.387,22,0.71,0,1,4,9,8,3,0,13,0-1-0,2022
49.0,"Baxter, Maddy",21-0,8,1,9,26,0.308,16,0.615,0,0,6,12,9,4,3,34,0-3-0,2022
43.0,"Cockerille, Sierra",5-5,5,3,8,11,0.455,9,0.818,0,1,1,5,3,3,9,10,0-4-0,2022
6.0,"Rowley, Payton",7-0,6,0,6,14,0.429,12,0.857,0,1,1,0,4,0,0,1,0-1-0,2022
29.0,"Jimerson, Jalyn",9-0,3,1,4,7,0.429,6,0.857,0,1,3,2,4,1,0,2,0-0-0,2022
26.0,"Cooper, Sarah",21-21,1,2,3,2,0.5,2,1.0,0,0,0,28,8,20,59,51,0-2-1,2022
12.0,"Goodale, Katie",21-21,0,2,2,0,0.0,0,0.0,0,0,0,30,9,28,8,58,0-3-0,2022
8.0,"Mashewske, Kate",21-21,1,1,2,1,1.0,1,1.0,0,0,0,2,22,1,178,30,0-0-1,2022
23.0,"Parower, Shira",3-0,1,0,1,4,0.25,1,0.25,0,0,0,0,4,0,0,1,0-0-0,2022
2.0,"Sweitzer, Delaney",13-5,0,0,0,0,0.0,0,0.0,0,0,0,8,4,0,0,2,0-0-0,2022
7.0,"Horvit, Ana",6-0,0,0,0,0,0.0,0,0.0,0,0,0,1,0,0,0,0,0-0-0,2022
9.0,"Basciano, Julia",13-0,0,0,0,0,0.0,0,0.0,0,0,0,2,0,3,1,8,0-0-0,2022
11.0,"Hower, Kimber",21-16,0,0,0,0,0.0,0,0.0,0,0,0,30,8,3,0,0,0-0-0,2022
14.0,"McKenna, Samantha",5-0,0,0,0,1,0.0,1,1.0,0,0,1,1,1,1,0,1,0-0-0,2022
20.0,"Queri, Tessa",21-18,0,0,0,2,0.0,0,0.0,0,0,1,18,4,11,5,20,0-1-0,2022
30.0,"Harris, Kenzie",1-0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0-0-0,2022
31.0,"Simkins, Hallie",21-20,0,0,0,0,0.0,0,0.0,0,0,0,11,4,3,0,33,0-1-0,2022
34.0,"Gray, Kara",6-0,0,0,0,0,0.0,0,0.0,0,0,0,1,0,1,0,1,0-1-0,2022
36.0,"Johnston, Evan",6-0,0,0,0,0,0.0,0,0.0,0,0,0,1,0,1,0,0,0-0-0,2022
42.0,"Van Middelem, Hannah",2-0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0-0-0,2022
45.0,"Chevarie, Bianca",19-19,0,0,0,0,0.0,0,0.0,0,0,0,31,7,17,7,32,0-4-2,2022
77.0,"Call, Lauren",5-0,0,0,0,0,0.0,0,0.0,0,0,0,1,0,0,0,1,0-1-1,2022
,Total,21,324,145,469,682,0.475,507,0.743,15,52,116,295,286,137,371,522,0-45-90,2022
,Opponents,21,245,113,358,525,0.467,376,0.716,6,48,105,300,302,140,262,529,0-61-30,2022
18.0,"Tyrrell, Meaghan",21-21,55,52,107,115,0.478,87,0.757,8,6,13,17,22,3,2,21,0-4-0,2023
44.0,"Ward, Emma",21-3,38,56,94,73,0.521,48,0.658,1,7,12,9,30,1,0,15,0-2-0,2023
24.0,"Tyrrell, Emma",20-19,52,16,68,105,0.495,78,0.743,2,5,11,13,22,4,30,18,0-3-0,2023
22.0,"Carney, Megan",20-20,59,7,66,107,0.551,86,0.804,5,5,7,12,23,4,1,33,0-3-1,2023
1.0,"Adamson, Olivia",21-14,30,21,51,54,0.556,40,0.741,0,3,7,7,17,1,107,41,0-1-0,2023
43.0,"Cockerille, Sierra",21-20,28,13,41,55,0.509,42,0.764,0,2,4,18,23,7,22,35,0-1-0,2023
15.0,"Smith, Natalie",21-18,21,8,29,50,0.42,29,0.58,0,4,8,13,22,12,9,28,0-6-0,2023
49.0,"Baxter, Maddy",21-3,25,2,27,57,0.439,44,0.772,1,1,5,17,17,13,10,33,0-1-1,2023
35.0,"Sweitzer, Savannah",21-0,10,6,16,24,0.417,16,0.667,1,1,2,5,6,0,0,7,0-2-0,2023
20.0,"Queri, Tessa",21-3,7,3,10,10,0.7,9,0.9,0,1,3,18,6,11,1,12,0-2-0,2023
55.0,"Markey, Jenny",12-3,4,3,7,8,0.5,7,0.875,0,1,3,5,7,4,1,11,0-1-0,2023
23.0,"Parower, Shira",7-0,2,1,3,10,0.2,8,0.8,0,0,2,1,1,0,0,2,0-1-0,2023
6.0,"Rowley, Payton",7-0,1,1,2,3,0.333,3,1.0,0,0,0,1,0,0,0,0,0-0-0,2023
8.0,"Mashewske, Kate",7-7,1,1,2,1,1.0,1,1.0,0,0,0,1,8,2,70,14,0-0-0,2023
19.0,"Britton, Gracie",8-0,2,0,2,3,0.667,2,0.667,0,1,1,0,0,0,0,1,0-0-0,2023
3.0,"Banks, Ryann",3-0,0,1,1,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0-0-0,2023
12.0,"Goodale, Katie",21-21,1,0,1,1,1.0,1,1.0,0,0,0,27,7,27,63,74,0-3-2,2023
13.0,"Rehder, Caroline",5-0,1,0,1,1,1.0,1,1.0,0,0,0,0,0,0,0,0,0-0-0,2023
2.0,"Sweitzer, Delaney",21-21,0,0,0,0,0.0,0,0.0,0,0,0,78,22,19,0,2,0-0-0,2023
4.0,"Deblasio, Jordan",18-0,0,0,0,0,0.0,0,0.0,0,0,0,1,0,1,0,5,0-1-0,2023
7.0,"Horvit, Ana",6-0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0-0-0,2023
9.0,"Basciano, Julia",20-0,0,0,0,0,0.0,0,0.0,0,0,0,8,2,4,0,7,0-1-0,2023
10.0,"Wooters, Faith",7-0,0,0,0,0,0.0,0,0.0,0,0,0,0,1,0,3,2,0-0-0,2023
11.0,"Hower, Kimber",4-0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0-0-0,2023
14.0,"Connor, Acacia",6-0,0,0,0,1,0.0,1,1.0,0,0,0,1,0,0,0,2,0-0-0,2023
16.0,"Vandiver, Coco",21-21,0,0,0,0,0.0,0,0.0,0,0,0,15,7,15,2,41,0-2-0,2023
17.0,"Olsen, McKenzie",14-6,0,0,0,0,0.0,0,0.0,0,0,0,8,7,4,1,24,0-0-0,2023
30.0,"Clark, Superia",21-21,0,0,0,0,0.0,0,0.0,0,0,0,13,1,4,4,18,0-2-1,2023
31.0,"Simkins, Hallie",21-21,0,0,0,0,0.0,0,0.0,0,0,0,18,5,9,1,57,0-2-0,2023
34.0,"Bethea-Jones, Chloe",7-0,0,0,0,0,0.0,0,0.0,0,0,0,1,0,0,0,2,0-0-0,2023
36.0,"Johnston, Evan",7-0,0,0,0,0,0.0,0,0.0,0,0,0,1,0,0,0,0,0-0-0,2023
45.0,"Chevarie, Bianca",10-10,0,0,0,0,0.0,0,0.0,0,0,0,22,3,17,5,23,0-0-1,2023
50.0,"Paulson, Tate",4-0,0,0,0,0,0.0,0,0.0,0,0,0,1,0,0,0,0,0-0-0,2023
77.0,"Call, Lauren",2-0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,2,0,0-0-0,2023
,Total,21,337,191,528,678,0.497,503,0.742,18,37,78,331,267,162,335,557,0-38-60,2023
,Opponents,21,201,114,315,528,0.381,392,0.742,3,51,141,283,293,116,269,474,0-49-50,2023
24.0,"Tyrrell, Emma",22-22,70,22,92,135,0.519,102,0.756,4,12,26,21,29,7,6,7,0-0-3,2024
1.0,"Adamson, Olivia",22-22,58,25,83,109,0.532,77,0.706,1,14,22,12,29,7,6,9,0-0-5,2024
44.0,"Ward, Emma",22-22,44,37,81,90,0.489,69,0.767,2,5,12,10,32,3,0,5,0-0-2,2024
15.0,"Smith, Natalie",21-21,44,10,54,91,0.484,68,0.747,3,14,27,11,24,8,36,26,0-6-4,2024
6.0,"Rowley, Payton",19-0,23,15,38,55,0.418,42,0.764,2,5,9,5,15,1,0,0,0-0-2,2024
49.0,"Baxter, Maddy",22-22,30,6,36,64,0.469,44,0.688,0,6,12,14,20,12,14,26,0-5-7,2024
35.0,"Sweitzer, Savannah",21-0,24,9,33,54,0.444,39,0.722,0,2,7,8,16,0,0,6,0-2-2,2024
5.0,"Muchnick, Emma",22-0,14,13,27,42,0.333,30,0.714,0,4,11,15,27,5,20,16,0-3-0,2024
33.0,"Caramelli, Joely",22-0,11,3,14,28,0.393,20,0.714,3,2,4,10,14,10,1,12,0-4-0,2024
19.0,"Britton, Gracie",17-0,7,4,11,17,0.412,11,0.647,0,1,3,1,9,0,0,0,0-0-0,2024
28.0,"Rode, Meghan",9-0,8,1,9,11,0.727,8,0.727,1,0,0,3,7,0,0,0,0-0-0,2024
3.0,"Banks, Ryann",4-0,0,1,1,1,0.0,0,0.0,0,0,0,0,1,0,0,0,0-0-0,2024
12.0,"Goodale, Katie",21-21,0,1,1,4,0.0,1,0.25,0,0,1,43,9,45,47,45,0-2-5,2024
16.0,"Vandiver, Coco",22-22,0,1,1,1,0.0,0,0.0,0,0,0,19,6,18,2,21,0-4-5,2024
20.0,"Rich, Mackenzie",10-0,0,1,1,2,0.0,1,0.5,0,0,0,4,5,2,0,1,0-0-0,2024
31.0,"Simkins, Hallie",22-22,0,1,1,0,0.0,0,0.0,0,0,0,26,9,18,0,41,0-1-0,2024
4.0,"Benoit, Kaci",22-22,1,0,1,3,0.333,2,0.667,0,0,0,21,4,15,4,17,0-4-0,2024
30.0,"Clark, Superia",9-0,1,0,1,1,1.0,1,1.0,0,0,0,1,2,0,2,2,0-0-0,2024
0.0,"Guyette, Daniella",7-0,0,0,0,0,0.0,0,0.0,0,0,0,1,3,0,0,0,0-0-0,2024
2.0,"Sweitzer, Delaney",22-22,0,0,0,0,0.0,0,0.0,0,0,0,54,9,25,0,1,0-0-0,2024
7.0,"Horvit, Ana",7-0,0,0,0,0,0.0,0,0.0,0,0,0,1,1,0,0,1,0-0-0,2024
8.0,"Mashewske, Kate",22-22,0,0,0,2,0.0,2,1.0,0,0,0,1,23,1,234,26,0-0-0,2024
9.0,"Basciano, Julia",9-1,0,0,0,0,0.0,0,0.0,0,0,0,0,1,0,0,5,0-0-1,2024
10.0,"Wooters, Faith",5-0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0-0-0,2024
17.0,"Olsen, McKenzie",21-1,0,0,0,4,0.0,2,0.5,0,0,1,2,1,2,0,4,0-0-2,2024
18.0,"Desimone, Carlie",9-0,0,0,0,1,0.0,1,1.0,0,0,0,0,2,0,0,0,0-0-0,2024
25.0,"Blesi, Ella",8-0,0,0,0,0,0.0,0,0.0,0,0,0,1,1,0,1,1,0-0-0,2024
27.0,"Lahah, Izzy",7-0,0,0,0,0,0.0,0,0.0,0,0,0,1,1,0,0,1,0-0-0,2024
32.0,"Gentle, Gwenna",1-0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0-0-0,2024
34.0,"Bethea-Jones, Chloe",7-0,0,0,0,0,0.0,0,0.0,0,0,0,1,0,1,0,0,0-0-0,2024
36.0,"Johnston, Evan",6-0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,3,0,0,0-0-0,2024
45.0,"Chevarie, Bianca",22-22,0,0,0,1,0.0,1,1.0,0,0,0,40,5,27,3,35,0-4-0,2024
50.0,"Paulson, Tate",1-0,0,0,0,0,0.0,0,0.0,0,0,0,1,0,0,0,0,0-0-0,2024
77.0,"Call, Lauren",5-0,0,0,0,0,0.0,0,0.0,0,0,0,0,1,0,5,1,0-0-0,2024
,Total,22,335,150,485,716,0.468,521,0.728,16,65,135,327,316,210,384,318,0-35-380,2024
,Opponents,22,213,108,321,551,0.387,366,0.664,6,45,103,351,335,170,234,373,0-54-630,2024
44.0,"Ward, Emma",19-19,30,46,76,77,0.39,55,0.714,1,3,9,6,41,2,0,9,0-1-0,2025
24.0,"Trinkaus, Caroline",19-18,32,11,43,72,0.444,57,0.792,4,9,11,6,16,5,8,6,0-3-7,2025
5.0,"Muchnick, Emma",19-18,34,7,41,71,0.479,55,0.775,2,12,24,27,31,9,13,8,0-1-1,2025
19.0,"Britton, Gracie",19-14,20,10,30,41,0.488,33,0.805,0,3,7,8,16,0,1,2,0-0-1,2025
11.0,"Vogelman, Alexa",19-10,21,6,27,46,0.457,35,0.761,0,9,14,25,27,13,31,26,0-3-0,2025
47.0,"Cotter, Mileena",19-13,21,2,23,50,0.42,38,0.76,1,4,10,11,26,10,24,29,0-0-5,2025
33.0,"Caramelli, Joely",19-13,16,4,20,46,0.348,29,0.63,0,0,5,23,8,11,39,30,0-2-4,2025
22.0,"Guzik, Molly",19-0,14,5,19,34,0.412,23,0.676,0,0,0,15,14,8,13,15,0-2-1,2025
1.0,"Adamson, Olivia",3-3,10,6,16,18,0.556,13,0.722,1,1,1,2,7,1,5,1,0-0-1,2025
21.0,"Volpe, Ashlee",12-8,14,2,16,31,0.452,22,0.71,0,2,4,5,10,1,0,2,0-1-2,2025
18.0,"Desimone, Carlie",15-5,3,9,12,12,0.25,9,0.75,0,0,1,8,7,2,0,4,0-0-1,2025
72.0,"DeVito, Sam",19-13,8,2,10,12,0.667,11,0.917,0,1,2,22,11,13,11,14,0-0-4,2025
12.0,"Parker, Annie",15-0,6,1,7,13,0.462,9,0.692,1,0,1,1,4,0,1,0,0-0-3,2025
2.0,"Peters, Bri",3-0,2,1,3,3,0.667,3,1.0,0,0,1,1,1,0,0,0,0-1-3,2025
6.0,"Rowley, Payton",6-0,1,0,1,3,0.333,2,0.667,0,0,0,0,2,0,0,0,0-0-0,2025
20.0,"Rich, Mackenzie",5-0,1,0,1,1,1.0,1,1.0,0,0,0,1,0,0,0,2,0-0-0,2025
28.0,"Rode, Meghan",17-9,1,0,1,3,0.333,2,0.667,0,0,0,1,4,0,75,17,0-0-1,2025
0.0,"Guyette, Daniella",19-19,0,0,0,0,0.0,0,0.0,0,0,0,28,8,2,0,0,0-0-0,2025
4.0,"Benoit, Kaci",19-19,0,0,0,2,0.0,1,0.5,0,0,0,34,5,12,13,51,0-1-3,2025
7.0,"Horvit, Ana",12-3,0,0,0,0,0.0,0,0.0,0,0,0,6,2,2,0,15,0-0-1,2025
8.0,"Reber, Lexi",8-8,0,0,0,1,0.0,1,1.0,0,0,0,5,2,1,1,16,0-2-0,2025
9.0,"Basciano, Julia",2-2,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,1,0-1-1,2025
15.0,"Boggs, Kendall",5-0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,1,0-1-0,2025
16.0,"Vandiver, Coco",19-18,0,0,0,0,0.0,0,0.0,0,0,0,34,3,40,1,51,0-1-0,2025
17.0,"Olsen, McKenzie",2-0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0-0-0,2025
25.0,"Blesi, Ella",5-1,0,0,0,0,0.0,0,0.0,0,0,0,2,2,0,0,3,0-1-0,2025
27.0,"Lahah, Izzy",6-2,0,0,0,2,0.0,2,1.0,0,0,0,7,1,8,1,9,0-1-1,2025
30.0,"Clark, Superia",16-13,0,0,0,0,0.0,0,0.0,0,0,0,14,7,13,2,46,0-1-0,2025
