Year,Player,Goals,Assists,Points,Turnovers,Game_Winning_Goals,SOG_Percentage,Value_Score
2020,"Hawryschuk, Emily",39,7,46,20,3,0.833,81.665
2020,"Carney, Megan",21,11,32,8,2,0.689,59.94499999999999
2020,"Tyrrell, Meaghan",19,9,28,7,0,0.818,48.59
2020,"Swart, Sam",12,10,22,5,0,0.767,37.835
2020,"Cockerille, Sierra",12,5,17,2,1,0.8,36.5
2020,"Rahal, Mary",6,3,9,6,0,0.818,14.59
2020,"Costantino, Vanessa",4,4,8,3,0,0.615,14.075
2020,"Chevarie, Bianca",4,4,8,5,1,0.563,14.814999999999998
2020,"Alexander, Morgan",4,3,7,8,0,0.778,8.39
2020,"Quimby, Cara",5,1,6,1,0,0.667,13.835
2020,"Carter, Molly",1,4,5,2,0,1.0,11.0
2020,"Tyrrell, Emma",3,2,5,1,0,0.8,12.0
2020,"Harris, Kenzie",2,2,4,2,0,0.6,8.0
2020,"Simkins, Ella",1,1,2,2,0,1.0,6.5
2020,"Recchion, Bella",2,0,2,1,0,1.0,8.0
2020,"Kempney, Braelie",0,1,1,1,0,0.0,0.5
2020,"Marino, Danielle",1,0,1,1,0,1.0,6.0
2020,"Fusco, Rilea",1,0,1,4,0,0.6,1.0
2020,"Widner, Morgan",0,0,0,1,0,0.0,-1.0
2020,"Defliese, Kerry",0,0,0,3,0,0.0,-3.0
2020,"Mashewske, Kate",0,0,0,1,0,0.0,-1.0
2020,"Nazarian, Lila",0,0,0,1,0,0.0,-1.0
2020,"Fahey, Grace",0,0,0,0,0,0.0,0.0
2020,"Trice, Allyson",0,0,0,0,0,0.0,0.0
2020,"Goldstock, Asa",0,0,0,3,0,0.0,-3.0
2020,"Cooper, Sarah",0,0,0,1,0,0.0,-1.0
2020,"Avery, Lauren",0,0,0,0,0,0.0,0.0
2020,"Carollo, Courtney",0,0,0,0,0,0.0,0.0
2020,"Simkins, Hallie",0,0,0,2,0,0.0,-2.0
2020,"Gray, Lauren",0,0,0,0,0,0.0,0.0
2020,"Gray, Kara",0,0,0,1,0,0.0,-1.0
2020,"Van Middelem, Hannah",0,0,0,0,0,0.0,0.0
2021,"Tyrrell, Meaghan",68,44,112,31,5,0.795,189.975
2021,"Ward, Emma",43,30,73,34,3,0.742,109.71000000000001
2021,"Carney, Megan",49,20,69,22,1,0.809,113.04499999999999
2021,"Tyrrell, Emma",42,16,58,23,1,0.767,91.835
2021,"Cockerille, Sierra",22,28,50,20,0,0.671,69.355
