#,Player,gp - gs,g,A,pts,sh,sh%,sog,sog%,gwg,FPG,FPS,GB,to,ct,dc,fouls,RC-YC-GC,Year
18,"Tyrrell, Meaghan",21-21,55,52,107,115,.478,87,.757,8,6,13,17,22,3,2,21,0-4-0,2023
44,"Ward, Emma",21-3,38,56,94,73,.521,48,.658,1,7,12,9,30,1,0,15,0-2-0,2023
24,"Tyrrell, Emma",20-19,52,16,68,105,.495,78,.743,2,5,11,13,22,4,30,18,0-3-0,2023
22,"Carney, Megan",20-20,59,7,66,107,.551,86,.804,5,5,7,12,23,4,1,33,0-3-1,2023
1,"Adamson, Olivia",21-14,30,21,51,54,.556,40,.741,0,3,7,7,17,1,107,41,0-1-0,2023
43,"Cockerille, Sierra",21-20,28,13,41,55,.509,42,.764,0,2,4,18,23,7,22,35,0-1-0,2023
15,"Smith, Natalie",21-18,21,8,29,50,.420,29,.580,0,4,8,13,22,12,9,28,0-6-0,2023
49,"Baxter, Maddy",21-3,25,2,27,57,.439,44,.772,1,1,5,17,17,13,10,33,0-1-1,2023
35,"Sweitzer, Savannah",21-0,10,6,16,24,.417,16,.667,1,1,2,5,6,0,0,7,0-2-0,2023
20,"Queri, Tessa",21-3,7,3,10,10,.700,9,.900,0,1,3,18,6,11,1,12,0-2-0,2023
55,"Markey, Jenny",12-3,4,3,7,8,.500,7,.875,0,1,3,5,7,4,1,11,0-1-0,2023
23,"Parower, Shira",7-0,2,1,3,10,.200,8,.800,0,0,2,1,1,0,0,2,0-1-0,2023
6,"Rowley, Payton",7-0,1,1,2,3,.333,3,1.000,0,0,0,1,0,0,0,0,0-0-0,2023
8,"Mashewske, Kate",7-7,1,1,2,1,1.000,1,1.000,0,0,0,1,8,2,70,14,0-0-0,2023
19,"Britton, Gracie",8-0,2,0,2,3,.667,2,.667,0,1,1,0,0,0,0,1,0-0-0,2023
3,"Banks, Ryann",3-0,0,1,1,0,.000,0,.000,0,0,0,0,0,0,0,0,0-0-0,2023
12,"Goodale, Katie",21-21,1,0,1,1,1.000,1,1.000,0,0,0,27,7,27,63,74,0-3-2,2023
13,"Rehder, Caroline",5-0,1,0,1,1,1.000,1,1.000,0,0,0,0,0,0,0,0,0-0-0,2023
2,"Sweitzer, Delaney",21-21,0,0,0,0,.000,0,.000,0,0,0,78,22,19,0,2,0-0-0,2023
4,"Deblasio, Jordan",18-0,0,0,0,0,.000,0,.000,0,0,0,1,0,1,0,5,0-1-0,2023
7,"Horvit, Ana",6-0,0,0,0,0,.000,0,.000,0,0,0,0,0,0,0,0,0-0-0,2023
9,"Basciano, Julia",20-0,0,0,0,0,.000,0,.000,0,0,0,8,2,4,0,7,0-1-0,2023
10,"Wooters, Faith",7-0,0,0,0,0,.000,0,.000,0,0,0,0,1,0,3,2,0-0-0,2023
11,"Hower, Kimber",4-0,0,0,0,0,.000,0,.000,0,0,0,0,0,0,0,0,0-0-0,2023
14,"Connor, Acacia",6-0,0,0,0,1,.000,1,1.000,0,0,0,1,0,0,0,2,0-0-0,2023
16,"Vandiver, Coco",21-21,0,0,0,0,.000,0,.000,0,0,0,15,7,15,2,41,0-2-0,2023
17,"Olsen, McKenzie",14-6,0,0,0,0,.000,0,.000,0,0,0,8,7,4,1,24,0-0-0,2023
30,"Clark, Superia",21-21,0,0,0,0,.000,0,.000,0,0,0,13,1,4,4,18,0-2-1,2023
31,"Simkins, Hallie",21-21,0,0,0,0,.000,0,.000,0,0,0,18,5,9,1,57,0-2-0,2023
34,"Bethea-Jones, Chloe",7-0,0,0,0,0,.000,0,.000,0,0,0,1,0,0,0,2,0-0-0,2023
36,"Johnston, Evan",7-0,0,0,0,0,.000,0,.000,0,0,0,1,0,0,0,0,0-0-0,2023
45,"Chevarie, Bianca",10-10,0,0,0,0,.000,0,.000,0,0,0,22,3,17,5,23,0-0-1,2023
50,"Paulson, Tate",4-0,0,0,0,0,.000,0,.000,0,0,0,1,0,0,0,0,0-0-0,2023
77,"Call, Lauren",2-0,0,0,0,0,.000,0,.000,0,0,0,0,0,0,2,0,0-0-0,2023
,Total,21,337,191,528,678,.497,503,.742,18,37,78,331,267,162,335,557,0-38-60,2023
,Opponents,21,201,114,315,528,.381,392,.742,3,51,141,283,293,116,269,474,0-49-50,2023
